audit_id,domain,capability,industry_standard_baseline,current_implementation,evidence_level,evidence_paths,status,priority,risk_if_omitted,effort,implementation_mode,recommended_decision,business_input_required,production_access_required,reusable_for_future_projects,notes
SEC-010,Security,Content-Security-Policy,A CSP restricting script and style sources,Absent,E4,search of both Caddyfiles and the Astro layouts,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,"Add a CSP. The public site loads no third-party scripts, so a strict policy is unusually easy here and should be adopted while that is still true",no,no,reusable after extraction,—
SEC-011,Security,Rate limiting,Authentication and public writes are rate limited,Absent on /auth; per-process best-effort on /forms only,E1,"routes/auth.js,routes/public-forms.js:35",COMPLETE,P2,low,S,repository implementation,See AUTH-004 and ENQ-003. Prefer one edge-level control covering both,no,no,reusable now,CLOSED 2026-08-06 (Phase 2) for authentication. The public enquiry forms keep their own separate in-process throttle; unifying them is follow-up. See 34 §4
SEC-012,Security,Secrets management,No secret in the repository; required secrets fail closed,No secret in any shipped artefact (scanned every run); JWT_SECRET required at boot; .env gitignored,E1,"scripts/verify-release.mjs secret-and-host-scan,authmw.js:5-6,.gitignore",COMPLETE,P0,low,—,no action,No change,no,no,reusable now,—
SEC-013,Security,Dependency and supply-chain controls,Dependencies audited and pinned,"10 runtime dependencies, lockfiles committed, zero added by WS2; NO vulnerability audit has been run",E1,"api/package.json,web/package.json; npm audit not run (offline constraint)",MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,XS,repository implementation,Run npm audit in both packages and triage. A known CVE in one of ten packages would ship unnoticed,no,no,reusable now,Small surface is a genuine strength; the absent audit is the gap
SEC-014,Security,Audit logging,Security-relevant actions are attributable,"audit_log with actor id/name/role, action, target, changes; used by permissions, publication and enquiry transitions",E1,"db.js audit(),db/migrations/0001_schema.sql:350",COMPLETE,P1,low,—,no action,No change. Note the log is writable through the generic sync (SEC-002),no,no,reusable now,—
SEC-015,Security,Audit log integrity,Audit records cannot be edited by the people they describe,"audit is in the syncable collection set, so an admin can rewrite it",E1,shape.js SIMPLE_COLLECTIONS includes audit,COMPLETE,P3,low,S,repository implementation,Remove audit from the syncable set and make it append-only at the API. An audit log the audited party can edit is not an audit log,no,no,reusable now,"CLOSED 2026-08-06 (Phase 4). Append-only database triggers, audit removed from the syncable collection set, and the sync endpoint admin-only. Proving the trigger fires needs PostgreSQL and is an RC verification step. See 34 §7"
SEC-016,Security,Open redirects,Redirect targets are validated,Login handoff uses a ?next= parameter,E3,docs/.../04#8.2; not directly verified in this audit,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,XS,repository implementation,Confirm the next parameter is validated against an allowlist of internal paths,no,no,reusable after extraction,Lower-confidence finding; verify before acting
SEC-017,Security,Upload handling,Uploads validated and served safely,"Size limit, mimetype filter, folder allowlist, random filename",E1,routes/admin.js:833-848,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,See MED-002: add content-based type verification and fixed serving headers,no,no,reusable after extraction,—
SEC-020,Security,Third-party tracking inside the authenticated portal,No third-party analytics runs against signed-in users without a consent decision,"Analytics disabled by default. The Meta Pixel that initialised on every load and fired a PageView on every in-app route change for signed-in trade customers was REMOVED, with its hard-coded production id, and nothing replaced it",E1,"platform/server/storefront/index.html,platform/server/api/test/portal-analytics-disabled.test.js",COMPLETE,P0,high,—,business/privacy decision before any re-activation,"Leave disabled. Re-activation needs a configured id that is never committed, a consent mechanism for the jurisdictions Veyora trades in, and a view on whether tracking signed-in commercial behaviour is acceptable at all",yes,no,reusable now,"No dormant hook and no configuration flag holds the id - an id that only something else prevents from executing is one line away from executing again. 7 regressions injected including a dormant id in a config object and a different vendor entirely; 7 caught. Google Fonts is still loaded from a CDN on the same page, a separate and smaller decision"
INT-001,Integrations,Zoho Inventory,Stock and orders synchronised with the source of truth,"Live sync, order push, pause switch, scheduled job, status endpoint",E1,"platform/server/api/src/zoho.js,startup.js",COMPLETE — RC VERIFICATION REQUIRED,P1,high,—,supervised deployment,Verify sync and push against the live Zoho account before handoff,no,yes,tightly coupled to Veyora,Includes a documented run-without-Zoho cutover path
INT-002,Integrations,Zoho failure and retry behaviour,Failures are retried and surfaced,Pause switch and status endpoint; retry/dead-letter behaviour not verified in this audit,E3,zoho.js exports,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Confirm what happens to a failed order push and make failures visible in the admin,no,no,tightly coupled to Veyora,—
INT-003,Integrations,Email delivery,Transactional email through a configured provider,nodemailer with SMTP from the environment,E1,platform/server/api/src/mail.js,COMPLETE — RC VERIFICATION REQUIRED,P0,high,—,supervised deployment,SMTP must be configured and verified; SPF/DKIM/DMARC alignment matters for deliverability,yes,yes,reusable now,SMTP_FROM has a hard-coded fallback (PAY-003 pattern); left deliberately untouched
INT-004,Integrations,Accounting / bookkeeping,Invoices and payments reach the accounting system,Absent,E4,repository-wide search for quickbooks/xero,REQUIRES BUSINESS INPUT,P2,moderate,XL,business decision,Confirm whether the platform must post to an accounting system or whether export is sufficient,yes,no,not applicable,Named as absent in platform/docs/SOW-GAP-ANALYSIS.md §4.12
INT-005,Integrations,CRM,Enquiries and leads reach a CRM,Absent; forms.crm_routing unused,E1,db/migrations/0007_public_site.sql,REQUIRES BUSINESS INPUT,P2,moderate,M,business decision,See CUS-007 and ENQ-006,yes,no,not applicable,—
INT-006,Integrations,FX provider,Rates from a dated feed,Manual rates only,E1,currency.js:9,REQUIRES BUSINESS INPUT,P2,moderate,S,business decision,See PRC-005,yes,no,reusable after extraction,—
INT-007,Integrations,Carrier / shipping API,Labels and tracking from the carrier,Manual tracking entry with a carrier allowlist,E1,admin-data.js:275,OPTIONAL — NOT STANDARD FOR CURRENT BUSINESS MODEL,P3,low,L,business decision,Not required at current volume,yes,no,not applicable,—
INT-008,Integrations,Webhook verification and idempotency,Inbound webhooks are authenticated and replay-safe,No inbound webhooks exist yet; the approved Stripe decision introduces one,E4,repository-wide search for webhook,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,RECLASSIFIED 2026-08-06 from NOT APPLICABLE. The approved Stripe decision makes this applicable: see PAY-010. Signature verification and event-id idempotency are both mandatory because Stripe retries deliveries by design,no,yes,reusable after extraction,Was correctly Not Applicable before the payment decision; it is the clearest example in this matrix of a status that a business decision changes
NOT-001,Notifications,Order confirmation,Customer and staff notified,Implemented,E1,"emails.js:214,307",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,—
NOT-002,Notifications,Shipment / tracking,Customer told when the order ships,Absent,E4,emails.js exports,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,S,repository implementation,See INV-008,no,no,reusable after extraction,—
NOT-003,Notifications,Backorder status changes,Customer told when a backorder moves,Creation only,E1,emails.js:273,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,moderate,S,repository implementation,See BACK-005,no,no,reusable after extraction,—
NOT-004,Notifications,Return and warranty updates,Customer told when a return moves,Absent,E4,emails.js exports,MISSING — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,See RET-007,no,no,reusable after extraction,—
NOT-005,Notifications,Account approval / activation,Applicant told when their account is live,welcomeActivation exists and is sent from the admin path,E1,"emails.js:72,routes/admin.js:867,883",COMPLETE,P1,low,—,no action,No change. Note the enquiry-to-account link is missing (BIZ-002),no,no,reusable after extraction,—
NOT-006,Notifications,Enquiry notification,Staff told an enquiry arrived,Absent,E1,routes/public-forms.js stores only,MISSING — IMPLEMENT BEFORE HANDOFF,P0,critical,M,repository implementation,See ENQ-006. This is the highest-value single fix in the audit,no,no,reusable after extraction,—
NOT-007,Notifications,Email delivery failure handling,A failed send is retried and visible,"sendMail failures are caught; no retry queue, no dead-letter, no operator visibility",E1,"mail.js,routes/orders.js:52",PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Record every send attempt and its outcome, and surface failures in the admin. A silently failed order confirmation is indistinguishable from a sent one today",no,no,reusable after extraction,—
NOT-008,Notifications,Communication preferences,Customers can opt out of non-essential email,Absent,E4,users table columns,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,"All current email is transactional, so this is not urgent. Required before any marketing email",yes,no,reusable after extraction,campaigns and email_templates tables exist but the send path is a stub (REP-006)
REP-001,Reporting,Operational dashboards,At-a-glance operational state,Dashboard screen present; older analysis reported some cards were placeholders,E2,js/pages_core.js:81-84 per SOW-GAP-ANALYSIS §5; not re-verified at HEAD,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Re-verify at HEAD and remove or wire any placeholder card,no,no,reusable after extraction,Documentation-only evidence
REP-002,Reporting,Inventory and sales reporting views,"Reportable, reconcilable figures",5 SQL views including supplier_reconciliation and units_sold_by_model,E1,db/migrations/0002_views.sql,COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
REP-003,Reporting,Enquiry reporting,Volume and handling performance,List with filters and counts; no aggregate reporting,E1,routes/admin-enquiries.js listEnquiries,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,Add when volume justifies it,no,no,reusable after extraction,—
REP-004,Reporting,Permission and publication reporting,Who holds what; what was published when,content_approvals is queryable; no report screen,E1,db/migrations/0007_public_site.sql:242,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,See AUTH-011,no,no,reusable after extraction,—
REP-005,Reporting,Data exports,Staff can export operational data,xlsx-lite exists; CSV import paths exist,E1,platform/server/api/src/xlsx-lite.js,COMPLETE — RC VERIFICATION REQUIRED,P3,moderate,—,supervised real-data operation,Confirm exports honour the same data-minimisation rules as the screens,no,yes,reusable after extraction,—
REP-006,Reporting,Campaign / broadcast reporting,"Sends, opens, clicks",Campaign send is a stub; opens and clicks stay zero,E1,js/pages_customers.js:765-771 confirmed at HEAD,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,Remove the control or implement it. A screen reporting zeros that can never be non-zero misleads a reader,no,no,reusable after extraction,—
REP-007,Reporting,Audit log access,Staff can read the audit trail,Audit screen with an Undo control that does not revert,E1,js/pages_ops.js:450-461 confirmed at HEAD,COMPLETE,P3,low,S,repository implementation,Remove the Undo control. It writes a new audit row saying the action was reversed while reverting nothing — the log actively misstates what happened,no,no,reusable after extraction,"CLOSED 2026-08-06 (Phase 4). The Undo control is removed. It never reverted anything: it set undone=true and inserted a row claiming a reversal while the action remained in force, so the log actively misstated what had happened"
OPS-001,Reliability,Health checks,Every service reports real readiness,"db pg_isready, api /health running select 1, web /healthz; all health-gated",E1,"docker-compose.yml,docs/.../26#5",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,api healthcheck added in WS2 Phase 1
OPS-002,Reliability,Startup safety,A half-migrated API must not serve,startServer refuses to listen if ensureSchema fails,E1,"platform/server/api/src/startup.js:32-39,test/startup.test.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
OPS-003,Reliability,Logging,"Structured, searchable logs","console logging to container stdout; no structure, no aggregation",E1,repository-wide console.error/warn usage,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Adopt one-line structured logs with a request id. Docker retains them; nothing aggregates or searches them,no,no,reusable after extraction,Deliberately no payload logging on the enquiry path — preserve that
OPS-004,Reliability,Monitoring and alerting,Somebody is told when the platform is down,"Absent. No uptime monitor, no alert channel, no error tracking",E4,repository-wide search for sentry/prometheus/monitor/alert,MISSING — IMPLEMENT BEFORE HANDOFF,P0,critical,S,supervised deployment,"Add external uptime monitoring on the public host, the portal host and /api/health, alerting to a named owner. Without it an outage is discovered by a customer",yes,yes,reusable after extraction,The single largest operational gap
OPS-005,Reliability,Backups,"Regular, retained, off-host backups",Documented as a nightly pg_dump with 14-day retention on the server; the script is NOT in the repository,E2,platform/docs/RUNBOOK.md:172-181; no backup.sh in the repo,REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P0,critical,S,supervised deployment,Verify the cron actually runs and the retention holds. Bring backup.sh into the repository so it is reviewable and reproducible,no,yes,reusable after extraction,A backup nobody has verified is a hope
OPS-006,Reliability,Restore testing,A restore has actually been performed,"Documented procedure; the runbook itself recommends off-server copies, implying it is not automated",E2,platform/docs/RUNBOOK.md:176-181,MISSING — IMPLEMENT BEFORE HANDOFF,P0,critical,S,supervised deployment,Perform one full restore into a disposable database and record the result and the elapsed time. An untested backup is not a backup,no,yes,not applicable,—
OPS-007,Reliability,Scheduled jobs,Background work runs reliably and visibly,"Zoho schedule started at boot; no job status, no failure surface",E1,"startup.js:44,zoho.js:370",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Record each run and its outcome so a silently stopped scheduler is visible,no,no,reusable after extraction,—
OPS-008,Reliability,Retry queues and dead-letter handling,Failed asynchronous work is retried and inspectable,"Absent (email NOT-007, enquiry delivery ENQ-006, Zoho push INT-002)",E4,repository-wide search for queue/retry/dead-letter,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"One small durable outbox table serving email, enquiry delivery and Zoho push would close three findings at once",no,no,reusable after extraction,Recommended as a single workstream — see the backlog
OPS-009,Reliability,Support runbook and ownership,A named owner and a written procedure,"RUNBOOK.md covers DNS, logins, email, Zoho, everyday operations, backups and security; no named owner, no incident procedure",E1,platform/docs/RUNBOOK.md,PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,high,XS,documentation/runbook,"Add a named owner, an escalation path and a short incident procedure. The runbook is unusually good and this is a small addition",yes,no,reusable after extraction,—
DEP-001,Deployment,Compose topology,"Every service defined, health-gated, least-exposed",4 services; only Caddy publishes ports (80/443); no privileged flags; no source bind-mounts,E1,"docker-compose.yml,api/test/deployment-config.test.js",COMPLETE — RC VERIFICATION REQUIRED,P1,moderate,—,supervised deployment,docker compose config has never been run,no,yes,reusable now,30 static validation tests
DEP-002,Deployment,Reverse proxy routing,Correct precedence and header contract,Live Caddyfile unchanged; Caddyfile.rc holds the RC topology and is opt-in,E1,"platform/server/Caddyfile,Caddyfile.rc",COMPLETE — RC VERIFICATION REQUIRED,P0,high,—,supervised deployment,caddy validate has never been run,no,yes,reusable after extraction,Cutover is one .env line; rollback is deleting it
DEP-003,Deployment,Environment contract,Required variables fail closed,${VAR:?} in Compose plus validate-env.mjs; wildcard hosts now rejected,E1,"docker-compose.yml,web/scripts/validate-env.mjs,web/src/env.ts",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,A wildcard-host defect was found and fixed by the env-validation gate
DEP-004,Deployment,Migrations on deploy,Schema changes apply automatically and safely,ensureSchema runs at boot and mirrors every in-scope migration idempotently; a structural parity suite compares both definitions object by object,E1,"platform/server/api/src/migrate.js,startup.js,test/schema-parity.test.js",COMPLETE — RC VERIFICATION REQUIRED,P0,high,—,supervised deployment,Rehearse against a disposable PostgreSQL. 0009 and 0011-0016 have never executed anywhere,no,yes,reusable now,"CORRECTED in the Final Release Correction. This row previously claimed ensureSchema mirrored EVERY migration; it did not. Migrations 0003, 0004 and 0005 were never mirrored - six objects, all used at runtime, with po_number_seq read on every /admin/snapshot. Now mirrored, with test/schema-parity.test.js parsing both definitions so a future migration is covered automatically. 0001 (base schema) and 0002 (reporting views) remain migration-only with tested reasons"
DEP-005,Deployment,Release gate,One command runs every control,"scripts/verify-release.mjs — 16 gates, non-zero on failure, no production contact",E1,"scripts/verify-release.mjs,test/verify-release.test.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
DEP-006,Deployment,Rollback,A tested way back,Documented and non-destructive; never performed,E1,"docs/.../26#8,deploy.sh NOTE",COMPLETE — RC VERIFICATION REQUIRED,P0,critical,S,supervised deployment,Perform a cutover and a rollback on the RC host and record the result,no,yes,reusable after extraction,—
DEP-007,Deployment,DNS,The portal host resolves before the cutover,Not done; not verifiable from here,E2,docs/.../26#8,REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P0,critical,XS,supervised deployment,Confirm PORTAL_DOMAIN resolves to the host before touching Caddy,no,yes,not applicable,The portal becomes unreachable the moment it moves if this is wrong
DEP-008,Deployment,HTTPS,Valid certificates on both hosts,"Caddy automatic certificate management, unchanged and untested here",E2,platform/server/Caddyfile,REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P0,high,XS,supervised deployment,Verify certificate issuance for the new host at cutover,no,yes,reusable now,—
DEP-009,Deployment,Release-line lineage and integration path,A branch can be merged into the mainline,"CORRECTED 2026-08-06: the histories are NOT unrelated. main is a direct ancestor of mathew/public-website-rebuild (0 behind, 35 ahead) and merging is a fast-forward",E1,docs/.../33_GIT_HISTORY_AND_RELEASE_LINE_DIAGNOSIS.md; git merge-base --is-ancestor origin/main origin/mathew/public-website-rebuild is true,REQUIRES BUSINESS INPUT,P2,moderate,S,supervised deployment,Confirm the release line and authorise a fast-forward merge into main using --ff-only. Never use --allow-unrelated-histories on this repository: there is exactly one root commit and the flag would mask a real error,yes,no,not applicable,"DOWNGRADED from P0 critical. The original finding was a false positive caused by a SHALLOW CLONE: .git/shallow contained 2c749ec, so git presented a grafted commit as a parentless root and merge-base could not see past it. A read-only unshallow fetch resolved every merge-base. See 33 §9 for the mechanism and the diagnostic lesson"
DEP-010,Deployment,Handoff documentation,Another engineer can continue safely,32 numbered documents plus a runbook; unusually thorough,E1,"docs/public-website-rebuild/,platform/docs/",COMPLETE,P1,low,—,no action,No change. This is a genuine strength of the project,no,no,reusable now,—
QA-001,Testing,API test suite,Behavioural coverage of the API,"1,091 tests against controlled doubles",E1,platform/server/api/test/,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
QA-002,Testing,Admin frontend suite,Coverage of the admin panel,186 tests driving the real shipped files in a DOM shim,E1,test/,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,A dependency-free DOM shim; a genuinely reusable technique
QA-003,Testing,Public website suite,"Coverage of routes, rendering and SEO",466 tests including end-to-end HTTP against the real built server,E1,platform/server/web/test/,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
QA-004,Testing,Browser-based accessibility and responsive tests,Real-browser verification,"30 page/viewport audits, no dependency added",E1,web/test/accessibility-responsive.test.ts,COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
QA-005,Testing,Real-database migration rehearsal,Migrations proven against a real engine,Never done,E1,"docs/.../26#9,31#4",MISSING — IMPLEMENT BEFORE HANDOFF,P0,critical,S,supervised deployment,Bring up a disposable PostgreSQL and run every migration and ensureSchema,no,yes,not applicable,See DEP-004
QA-006,Testing,Live-row data-leak verification,The forbidden-data scan runs against real data,Never done. All four surfaces are proven against adversarial fixtures only,E1,docs/.../08 R-06,REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P0,critical,S,supervised real-data operation,Run the scan against a realistically seeded database. A field that exists in production but in no fixture is invisible to every current check,no,yes,not applicable,The reason R-06 cannot close
QA-007,Testing,CI enforcement,A failing change cannot be merged,No CI of any kind exists,E4,"no .github, no .gitlab-ci.yml, no Jenkinsfile",MISSING — IMPLEMENT BEFORE HANDOFF,P0,high,S,repository implementation,Wire scripts/verify-release.mjs into CI on every pull request and block a failing merge. The command exists; nothing runs it,no,no,reusable now,The other half of the R-06 mitigation
QA-008,Testing,Performance and load testing,Behaviour under realistic load is known,Never done,E4,repository-wide search for load/k6/artillery,MISSING — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,supervised real-data operation,Measure the catalogue and public listing paths at realistic volume. CAT-007 identifies a known in-JS filter over ~1000 products,no,yes,not applicable,—
QA-009,Testing,Security testing,Authorisation and boundary tests,"Extensive: capability gating, boundary guards, forbidden keys, publication bypass, concurrency; no external penetration test",E1,"api/test/permissions.test.js,publication-boundary.test.js,public-forbidden-keys.test.js",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,supervised real-data operation,Internal coverage is strong. An independent review before public launch is the conventional next step,yes,no,reusable now,—
QA-011,Testing,Migration / runtime schema parity,The canonical migrations and the runtime bootstrap cannot diverge silently,"Structural parity suite parses both and compares every table, column, index, sequence, function and trigger; migration-only exclusions must carry a stated, tested reason",E1,"platform/server/api/test/schema-parity.test.js,scripts/verify-release.mjs",COMPLETE,P0,high,—,no action,Keep as built; the suite is protected by the critical-invariants release gate,no,no,reusable now,"Added by the Final Release Correction. Proved by injecting five regressions - including a brand-new unmirrored migration - all five caught. Covers migrations that do not exist yet, which is the property that stops this class of defect recurring"
REU-001,Reusability,Account-specific capability system,A least-privilege permission layer,Registry + DB CHECK + resolution + middleware + management API + UI,E1,"permission-registry.js,permissions.js,routes/account-permissions.js,js/pages_permissions.js",COMPLETE,P2,low,—,no action,Reusable now. The strongest single component for reuse — domain-free and complete,no,no,reusable now,Rename the four public_content keys per project; the machinery is generic
REU-002,Reusability,Inventory movements ledger,An append-only stock audit trail,"Signed deltas, balance snapshots, actor attribution, deliberately FK-free",E1,platform/server/api/src/inventory.js,COMPLETE,P2,low,—,no action,Reusable now,no,no,reusable now,—
REU-003,Reusability,Backorder engine,"Shortfall detection, split fulfilment and conversion",Planning functions are pure and separately tested,E1,inventory.js planAllocation/planConversion/planSkuReservations,COMPLETE,P2,low,—,no action,Reusable now,no,no,reusable now,The pure planners are the reusable part; the routes are Veyora-shaped
REU-004,Reusability,Public API boundary and forbidden-key scanner,A provable public/private data boundary,"One central authority, recursive scanner, exact-match normalisation",E1,"public-forbidden-keys.js,public-serialize.js",COMPLETE,P2,low,—,no action,Reusable now. The scanner is domain-free; the key list is per project,no,no,reusable now,—
REU-005,Reusability,Publication governance,Draft/verify/approve/publish with a gate,Pure gate plus transactional publish and an approval log,E1,"publication-gate.js,routes/admin-public-content.js",COMPLETE,P2,low,—,no action,Reusable after extraction,no,no,reusable after extraction,Entity-shape assumptions are Veyora-specific
REU-006,Reusability,Public Astro website,Server-rendered public site with real 404s and SEO controls,"Complete route set, metadata, sitemap, JSON-LD, indexing policy",E1,platform/server/web/,COMPLETE,P2,low,—,no action,Reusable after extraction,no,no,reusable after extraction,Layouts and token layer are Veyora-branded
REU-007,Reusability,Release verification command,One command running every control,"16 gates, portable, no production contact, self-tested",E1,scripts/verify-release.mjs,COMPLETE,P2,low,—,no action,Reusable now. Gate list is per project; the harness is generic,no,no,reusable now,—
REU-008,Reusability,Dependency-free browser QA harness,Real-browser testing with no dependency,CDP over Node's global WebSocket plus a 17-rule in-page audit,E1,"web/test/helpers/headless-chrome.ts,a11y-audit.ts",COMPLETE,P2,low,—,no action,Reusable now,no,no,reusable now,"Notably valuable: no Playwright, no browser download, works anywhere Chrome or Edge exists"
REU-009,Reusability,Dependency-free DOM shim,Testing a vanilla-JS SPA without a framework or browser,vm-based shim driving the real shipped files,E1,test/helpers/dom.js,COMPLETE,P3,low,—,no action,Reusable now,no,no,reusable now,—
REU-010,Reusability,Deterministic catalogue audit and backfill planner,Plan data changes without executing them,"NFC/NFKD normalisation, ASCII-only case folding, byte-wise ordering, never emits SQL",E1,platform/server/api/src/catalogue-audit/,COMPLETE,P2,low,—,no action,Reusable after extraction,no,no,reusable after extraction,The determinism discipline is the reusable idea
REU-011,Reusability,Deployment architecture,Compose + Caddy with health gating and an opt-in cutover,"4 services, health-gated ordering, selectable Caddyfile, non-destructive rollback",E1,"docker-compose.yml,Caddyfile.rc,deploy.sh",COMPLETE,P2,low,—,no action,Reusable after extraction,no,no,reusable after extraction,The opt-in cutover pattern is worth carrying forward
REU-012,Reusability,Enquiry handling model,A no-delete status machine with attribution and concurrency,"5 states, closed transition allowlist, no terminal state, no delete",E1,enquiry-operations.js,COMPLETE,P2,low,—,no action,Reusable now,no,no,reusable now,A good template for RET-002
REU-013,Reusability,Authentication and account management,"Sessions, refresh, reset, activation",JWT + refresh rotation + OTP + bcrypt,E1,"authmw.js,routes/auth.js",COMPLETE,P2,low,—,no action,"Reusable after extraction, and only after AUTH-002 and AUTH-004 are fixed",no,no,reusable after extraction,Do not carry the PUBLIC_URL-derived Secure flag forward
REU-014,Reusability,Admin shell,"Navigation, routing, capability-filtered menu","Vanilla JS SPA, no build step",E1,js/app.js,COMPLETE,P3,moderate,—,no action,Tightly coupled to Veyora,no,no,tightly coupled to Veyora,Works well but its data model is a whole-database in-memory snapshot
REU-015,Reusability,Whole-database admin sync,Client holds all data and syncs diffs,POST /admin/sync over 18 collections,E1,"routes/admin.js:733,shape.js",COMPLETE,P2,high,—,no action,"Unsuitable for reuse. It is the root of SEC-002, SEC-015 and PAY-006",no,no,unsuitable for reuse,Works at this scale; do not carry the pattern to a new project
REU-016,Reusability,Multi-currency with rate stamping,Historical reproducibility of converted amounts,"currency + fx_rate stamped on orders, backorders and invoices",E1,"migrate.js:81-84,100-101",COMPLETE,P2,low,—,no action,Reusable now,no,no,reusable now,The stamping discipline is the reusable part; the manual rate source is not (PRC-005)
REU-017,Reusability,Customer-specific pricing,Per-account price modes,Four modes with a shared resolver,E1,"platform/server/api/src/pricing.js,js/data.js",COMPLETE,P2,low,—,no action,Reusable after extraction,no,no,reusable after extraction,—
REU-018,Reusability,Cart and ordering,"Cart, reservation, order placement",Transactional with guarded reservations,E1,"routes/cart.js,routes/orders.js",COMPLETE,P2,moderate,—,no action,"Reusable after extraction, and only after ORD-003",no,no,reusable after extraction,Idempotency is missing and should be added before reuse
REU-019,Reusability,Returns / warranty / spare parts,Aftersales workflows,Returns are minimal; warranty absent; spare parts basic,E1,"routes/orders.js:657,account.js:386",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,—,no action,Not yet suitable for reuse; see RET-002 and RET-005,no,no,unsuitable for reuse,—
REU-020,Reusability,Zoho integration,Inventory source-of-truth synchronisation,"Live sync, push, pause, schedule",E1,platform/server/api/src/zoho.js,COMPLETE,P3,moderate,—,no action,Tightly coupled to Veyora,no,no,tightly coupled to Veyora,The pause/cutover pattern is the transferable idea
