requirement_id,source_section,source_locator,source_summary,requirement_type,priority,current_status,proposed_implementation,target_component_or_service,data_or_content_dependency,placeholder_policy,production_blocker,acceptance_or_test_method,delivery_batch,notes
REQ-BRD-021,11.2.2 Brand detail acceptance,Section 11.2.2; list item 4,Brand schema and visible page facts match exactly,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Schema generated from the same record as the visible content,Schema builder,None,NONE,NO,Schema-to-DOM equality test,B9,
REQ-BRD-022,11.2.2 Brand detail acceptance,Section 11.2.2; list item 5,B2B pricing is not exposed in HTML or schema unless Veyora approves public pricing,SOURCE_ACCEPTANCE_CRITERION,P0,PARTIAL,Public serializer allowlist,Public data surface,None,NONE,YES,Forbidden-key test on HTML and JSON-LD,B9,Blocking - commercially sensitive data exposure
REQ-COL-001,12.1 Collections module order,Section 12.1; list item 1,Hero with the collections proposition; Request B2B Account and Service Model actions and an approved visual,SOURCE_REQUIREMENT,P0,MISSING,Shared hero,Collections index,Copy and imagery,OMIT_UNTIL_APPROVED,NO,Route test,B4,
REQ-COL-002,12.1 Collections module order,Section 12.1; list item 2,Search and category controls: model/collection/brand search; Optical Sun and Kids tabs and a sort control,SOURCE_REQUIREMENT,P0,PARTIAL,Rebuild with URL state; tabs become real category routes,Collections index,Facet data,NONE,NO,Deep-link and keyboard tests,B4,
REQ-COL-003,12.1 Collections module order,Section 12.1; list item 3,Filter area covering brand; audience/gender; shape; segment and other approved attributes with a labelled mobile drawer showing an active-filter count,SOURCE_REQUIREMENT,P0,PARTIAL,Add shape attribute; editorial filter drawer with count,Filter component,Shape data backfill,OMIT_UNTIL_APPROVED,NO,Axe plus responsive tests; shape facet omitted if coverage is insufficient,B4,Shape data does not exist - facet may ship omitted rather than wrong
REQ-COL-004,12.1 Collections module order,Section 12.1; list item 4,Results summary with result count and active filter summary,SOURCE_REQUIREMENT,P0,MISSING,Summary region with a live region for updates,Collections index,None,NONE,NO,Screen-reader announcement test,B4,
REQ-COL-005,12.1 Collections module order,Section 12.1; list item 5,Model grid using actual inventory data with image; model/SKU; brand; category and View Details link,SOURCE_REQUIREMENT,P0,PARTIAL,Server-rendered first page from the public surface,Collections index,Model publication,NONE,NO,Initial HTML contains products,B4,
REQ-COL-006,12.1 Collections module order,Section 12.1; list item 6,B2B gate message that pricing; real-time availability and ordering are in the portal with Request B2B Account and Login actions,SOURCE_REQUIREMENT,P0,MISSING,Persistent notice component,Collections index,DECISION-02,CONFIGURABLE,NO,Presence test,B4,
REQ-COL-007,12.1 Collections module order,Section 12.1; list item 7,Category explanation cards for Optical; Sun; Kids and Segmented by Role,SOURCE_REQUIREMENT,P1,MISSING,Content block,Collections index,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B4,
REQ-COL-008,12.1 Collections module order,Section 12.1; list item 8,Closing assortment CTA and full footer,SOURCE_REQUIREMENT,P0,MISSING,CTA band plus footer,Collections index,Copy,NONE,NO,Snapshot test,B4,
REQ-COL-009,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '/collections/',/collections/ is indexed and self-canonical with unique overview copy,SOURCE_REQUIREMENT,P0,MISSING,Route metadata and indexing policy,Indexing policy,Copy,NONE,NO,Metadata test,B7,
REQ-COL-010,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '/collections/optical/',/collections/optical/ is an indexed curated landing with unique copy and products,SOURCE_REQUIREMENT,P0,MISSING,Dedicated route,Category landing,Copy,OMIT_UNTIL_APPROVED,YES,Metadata and content test,B4,Source supplies no title description or H1 for this route
REQ-COL-011,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '/collections/sun/',/collections/sun/ is an indexed curated landing with unique copy and products,SOURCE_REQUIREMENT,P0,MISSING,Dedicated route,Category landing,Copy,OMIT_UNTIL_APPROVED,YES,Metadata and content test,B4,Source supplies no title description or H1 for this route
REQ-COL-012,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '/collections/kids/',/collections/kids/ is an indexed curated landing with unique copy and products,SOURCE_REQUIREMENT,P0,MISSING,Dedicated route,Category landing,Copy,OMIT_UNTIL_APPROVED,YES,Metadata and content test,B4,Source supplies no title description or H1 for this route
REQ-COL-013,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '?page=2',Paginated pages are indexed if useful; self-canonical with crawlable pagination links,SOURCE_REQUIREMENT,P0,MISSING,Server-rendered pagination with self-canonical,Indexing policy,None,NONE,NO,Crawl test that pagination is followable without JavaScript,B4,
REQ-COL-014,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '?brand=&shape=&gender=',Filter parameter states are noindex follow by default; excluded from the sitemap with a centrally defined canonical strategy,SOURCE_REQUIREMENT,P0,MISSING,Central indexing policy module,Indexing policy,None,NONE,YES,Per-state meta and sitemap tests,B7,
REQ-COL-015,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '?sort=',Sort-only states are noindex follow and canonical to the equivalent unsorted state,SOURCE_REQUIREMENT,P0,MISSING,Central indexing policy module,Indexing policy,None,NONE,YES,Meta and canonical test,B7,
REQ-COL-016,12.2 Faceted navigation and indexing,Section 12.2; table 'Faceted navigation and indexing'; row '/search/?q=',Internal search results are noindex follow and never placed in a sitemap,SOURCE_REQUIREMENT,P0,MISSING,Search route robots rules,Search template,None,NONE,NO,Meta test plus sitemap exclusion test,B5,
REQ-COL-017,12.3 Catalogue enhancements,Section 12.3; list item 1,Create indexable curated category pages rather than indexing every filter combination,SOURCE_REQUIREMENT,P0,MISSING,Three category routes only,Category landing,Copy,NONE,NO,Sitemap contains only curated landings,B4,
REQ-COL-018,12.3 Catalogue enhancements,Section 12.3; list item 2,Use stable human-readable model/SKU URLs; a colour selector updates media and SKU state without creating duplicates,SOURCE_REQUIREMENT,P0,MISSING,Canonical slug plus client-side colour state,Model detail,Canonical slugs,NONE,YES,URL invariance test,B4,
REQ-COL-019,12.3 Catalogue enhancements,Section 12.3; list item 3,Filters; search and pagination must not trap keyboard focus and must preserve browser back/forward behaviour,SOURCE_REQUIREMENT,P0,MISSING,History API pushState with focus management,Filter component,None,NONE,YES,Keyboard and history tests,B4,Blocking - keyboard trap on a core journey
REQ-COL-020,12.3 Catalogue enhancements,Section 12.3; list item 4,Do not require a click; swipe or filter interaction for crawlers to see the initial products and category copy,SOURCE_REQUIREMENT,P0,MISSING,Server rendering,Collections index,None,NONE,YES,curl assertion,B4,
REQ-COL-021,12.3 Catalogue enhancements,Section 12.3; list item 5,Split XML sitemaps into products; brands; pages and resources if the catalogue exceeds a few hundred products,SOURCE_REQUIREMENT,P0,MISSING,Sitemap index with four or five children,Sitemap service,Publication state,NONE,NO,Sitemap index validation,B7,Catalogue is about 1300 products so the condition is met
REQ-COL-022,12.3.1 Collections search package,Section 12.3.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Collections metadata package: canonical /collections/ with the specified title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata record,Metadata service,Copy,NONE,NO,Metadata test plus uniqueness,B4,Five table rows merged
REQ-COL-023,12.3.1 Collections search package,Section 12.3.1; table 'Search package'; row 'Schema',Collections emits CollectionPage + ItemList + BreadcrumbList,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Model records,NONE,NO,Schema-to-DOM equality,B7,
REQ-COL-024,12.3.2 Collections acceptance,Section 12.3.2; list item 1,Initial result set and descriptive copy render in server HTML,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Server rendering,Collections index,None,NONE,NO,curl assertion,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-COL-025,12.3.2 Collections acceptance,Section 12.3.2; list item 2,Every model card links to a stable public detail page,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Anchors,Collections index,Model publication,NONE,YES,Crawl test,B9,
REQ-COL-026,12.3.2 Collections acceptance,Section 12.3.2; list item 3,Filter; sort and search states follow the approved indexation matrix,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Indexing policy module,Indexing policy,None,NONE,NO,Per-state meta test,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-COL-027,12.3.2 Collections acceptance,Section 12.3.2; list item 4,No hidden B2B price or stock data appears in public source; metadata or schema,SOURCE_ACCEPTANCE_CRITERION,P0,PARTIAL,Serializer allowlist,Public data surface,None,NONE,YES,Forbidden-key test on HTML JSON and JSON-LD,B9,Blocking - commercially sensitive data exposure
REQ-COL-028,12.3.2 Collections acceptance,Section 12.3.2; list item 5,Pagination is crawlable and does not depend on an infinite-scroll-only experience,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Anchor-based pagination,Collections index,None,NONE,YES,Crawl test with JavaScript disabled,B9,
REQ-MOD-001,13.1 Model detail content,Section 13.1; list item 1,Breadcrumbs Home > Collections > Brand > Model,SOURCE_REQUIREMENT,P0,MISSING,Breadcrumb component,Model detail,None,NONE,NO,Breadcrumb equals URL equals schema,B4,
REQ-MOD-002,13.1 Model detail content,Section 13.1; list item 2,Brand; model name and display SKU as the primary identity with one H1,SOURCE_REQUIREMENT,P0,MISSING,Template,Model detail,Model records,NONE,NO,Heading test,B4,
REQ-MOD-003,13.1 Model detail content,Section 13.1; list item 3,High-resolution image gallery with colour/variant selectors and accurate image-to-SKU mapping,SOURCE_REQUIREMENT,P0,PARTIAL,Editorial gallery island with mapped variant media,Model detail,Variant media mapping,OMIT_UNTIL_APPROVED,NO,Mapping test per published variant,B4,
REQ-MOD-004,13.1 Model detail content,Section 13.1; list item 4,Visible public attributes: optical/sun; audience; shape; material; colours; size and dimensions; collection/line; style traits and approved technical features,SOURCE_REQUIREMENT,P0,PARTIAL,Attribute table from the model record; unavailable attributes omitted,Model detail,Shape and material backfill,OMIT_UNTIL_APPROVED,NO,No zero or placeholder value renders,B4,
REQ-MOD-005,13.1 Model detail content,Section 13.1; list item 5,Concise original description explaining the model rather than repeating brand boilerplate,SOURCE_REQUIREMENT,P0,MISSING,public_description field distinct from the imported description,Model entity,Model copy,OMIT_UNTIL_APPROVED,NO,Duplicate-detection against brand copy,B4,
REQ-MOD-006,13.1 Model detail content,Section 13.1; list item 6,B2B message that pricing; live inventory and ordering are available to approved accounts with Login and Request B2B Account actions,SOURCE_REQUIREMENT,P0,MISSING,Notice component,Model detail,DECISION-02,CONFIGURABLE,NO,Presence test,B4,
REQ-MOD-007,13.1 Model detail content,Section 13.1; list item 7,Related models chosen by brand; shape; audience or commercial role,SOURCE_REQUIREMENT,P1,MISSING,Related-model query,Model detail,Shape data,OMIT_UNTIL_APPROVED,NO,Related links resolve and are not circular,B4,
REQ-MOD-008,13.1 Model detail content,Section 13.1; list item 8,Warranty and service summary linking to the full policy,SOURCE_REQUIREMENT,P0,MISSING,Claim component with policy reference,Model detail,Policy records,OMIT_UNTIL_APPROVED,NO,Link presence test,B4,
REQ-MOD-009,13.2 Model data and schema rules,Section 13.2; list item 1,Use Product structured data only for information visible on the page; do not include Offer/price/availability values hidden behind login,SOURCE_REQUIREMENT,P0,MISSING,Schema builder with no access to price or stock,Schema builder,None,NONE,YES,Forbidden-key test on JSON-LD,B7,Blocking - commercially sensitive data exposure
REQ-MOD-010,13.2 Model data and schema rules,Section 13.2; list item 2,Accept that a page without public Offer data may not qualify for product rich results; accurate entity markup is preferable to invented data,SOURCE_REQUIREMENT,P1,MISSING,No invented Offer data under any circumstance,Schema builder,None,NONE,NO,Schema type allowlist,B7,
REQ-MOD-011,13.2 Model data and schema rules,Section 13.2; list item 3,Model variants should use ProductGroup/hasVariant or an equivalent validated pattern where data quality supports it,SOURCE_REQUIREMENT,P1,MISSING,ProductGroup emitted when variant data is complete,Schema builder,Variant completeness,OMIT_UNTIL_APPROVED,NO,Rich Results validation,B7,
REQ-MOD-012,13.2 Model data and schema rules,Section 13.2; list item 4,Image URLs in structured data must be crawlable and indexable,SOURCE_REQUIREMENT,P0,PARTIAL,Absolute canonical image URLs,Schema builder,None,NONE,NO,Fetch every schema image URL and assert 200,B7,
REQ-MOD-013,13.2 Model data and schema rules,Section 13.2; list item 5,If a model is discontinued show that status and alternatives; use a 301 only when a genuinely equivalent replacement exists,SOURCE_REQUIREMENT,P1,MISSING,Discontinued state plus replacement pointer,Model entity,Discontinued data,OMIT_UNTIL_APPROVED,NO,Fixture tests for both dispositions,B4,
REQ-MOD-014,13.2.1 Model search package,Section 13.2.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Model detail metadata package: canonical /collections/{brand}/{model-sku}/ with templated title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata template,Metadata service,Model copy,NONE,NO,Metadata test plus uniqueness,B4,Five table rows merged
REQ-MOD-015,13.2.1 Model search package,Section 13.2.1; table 'Search package'; row 'Schema',Model detail emits Product or ProductGroup + Brand + BreadcrumbList and omits Offer unless price and availability are publicly visible,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Model records,NONE,NO,Forbidden-key test on JSON-LD,B7,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-MOD-016,13.2.2 Model acceptance,Section 13.2.2; list item 1,Each model has one canonical URL and one indexable identity across colour variants,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Canonical slug,Model detail,None,NONE,YES,URL invariance test,B9,
REQ-MOD-017,13.2.2 Model acceptance,Section 13.2.2; list item 2,All technical values come from the product data source and match images and SKUs,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,No hand-entered technical values in templates,Model detail,Data quality,NONE,NO,Data-source assertion test,B9,
REQ-MOD-018,13.2.2 Model acceptance,Section 13.2.2; list item 3,No placeholder dimensions; lorem ipsum; invalid zero values or source text is visible to crawlers,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Zero and empty values suppressed,Model detail,Data quality,NONE,YES,Automated scan of rendered HTML,B9,Blocking - invalid published product data
REQ-MOD-019,13.2.2 Model acceptance,Section 13.2.2; list item 4,Related models use crawlable links and do not create circular unavailable-result pages,SOURCE_ACCEPTANCE_CRITERION,P1,MISSING,Related-model query with a published-only filter,Model detail,Publication state,NONE,NO,Crawl test,B9,
REQ-SVC-001,14.1 Service Model module order,Section 14.1; list item 1,Hero with a retailer-friendly service proposition; Request B2B Account and Talk to Sales actions and a service visual,SOURCE_REQUIREMENT,P0,MISSING,Shared hero,Service Model,Copy and imagery,OMIT_UNTIL_APPROVED,NO,Route test,B3,
REQ-SVC-002,14.1 Service Model module order,Section 14.1; list item 2,Service pillars covering shipping window; exchange policy; warranty; resolution logic where applicable and the B2B platform using approved policy language and exceptions,SOURCE_REQUIREMENT,P0,MISSING,Pillar module bound to policy records; unapproved pillars omitted,Service Model,Approved policies,OMIT_UNTIL_APPROVED,NO,Each rendered pillar links to a policy,B3,Specific figures in the source are illustrative and not approved values
REQ-SVC-003,14.1 Service Model module order,Section 14.1; list item 3,Operational outcomes covering lower risk; easier replenishment; faster resolution and cleaner management,SOURCE_REQUIREMENT,P1,MISSING,Benefit module,Service Model,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-SVC-004,14.1 Service Model module order,Section 14.1; list item 4,Process covering Order; Replenishment; Delivery and Warranty/Support,SOURCE_REQUIREMENT,P1,MISSING,Process module stacking vertically on narrow screens,Service Model,Copy,OMIT_UNTIL_APPROVED,NO,Responsive and reading-order test,B3,
REQ-SVC-005,14.1 Service Model module order,Section 14.1; list item 5,B2B platform preview covering reorder; order tracking; warranty claims; account documents; users and permissions,SOURCE_REQUIREMENT,P1,MISSING,Portal preview component,Service Model,Approved screenshots,OMIT_UNTIL_APPROVED,NO,No confidential data appears,B3,
REQ-SVC-006,14.1 Service Model module order,Section 14.1; list item 6,Frequently asked questions with complete visible answers,SOURCE_REQUIREMENT,P0,MISSING,Accordion with content in the DOM,Service Model,Approved answers,OMIT_UNTIL_APPROVED,NO,Content present with JavaScript disabled,B3,
REQ-SVC-007,14.1 Service Model module order,Section 14.1; list item 7,Closing B2B and sales CTA,SOURCE_REQUIREMENT,P0,MISSING,CTA band,Service Model,Copy,NONE,NO,Snapshot test,B3,
REQ-SVC-008,14.2 Claim qualification,Section 14.2; list item 1,State the starting point and coverage for the shipping claim including in-stock scope; business days; eligible destinations and cut-off,SOURCE_REQUIREMENT,P0,MISSING,Policy record fields rendered with the claim; claim omitted if unqualified,Policy entity,Approved shipping policy,OMIT_UNTIL_APPROVED,YES,No shipping claim renders without its qualification,B3,Blocking - an unqualified claim would be materially false
REQ-SVC-009,14.2 Claim qualification,Section 14.2; list item 2,Explain exchange eligibility including one-for-one; condition; exclusions; approval; freight responsibility and geography,SOURCE_REQUIREMENT,P0,MISSING,Policy record; claim omitted if unqualified,Policy entity,Approved exchange policy,OMIT_UNTIL_APPROVED,YES,No exchange claim renders without its qualification,B3,Blocking - an unqualified claim would be materially false
REQ-SVC-010,14.2 Claim qualification,Section 14.2; list item 3,Explain warranty coverage including manufacturing defects; start date; exclusions; claim evidence and resolution options,SOURCE_REQUIREMENT,P0,MISSING,Policy record; claim omitted if unqualified,Policy entity,Approved warranty policy,OMIT_UNTIL_APPROVED,YES,No warranty claim renders without its qualification,B3,Blocking - an unqualified claim would be materially false
REQ-SVC-011,14.2 Claim qualification,Section 14.2; list item 4,Replace the term No-Return Logic with customer-facing language subject to policy approval,SOURCE_REQUIREMENT,P1,MISSING,Terminology omitted until approved,Content register,Approved terminology,OMIT_UNTIL_APPROVED,NO,Term absent until an approved label exists,B3,
REQ-SVC-012,14.2 Claim qualification,Section 14.2; list item 5,Portal metrics shown in visuals must be labelled demo data unless they come from a safe live authenticated account,SOURCE_REQUIREMENT,P0,MISSING,Demo-data label required on the portal preview component,Portal preview component,Approved screenshots,OMIT_UNTIL_APPROVED,YES,Label present on every rendered metric visual,B3,Blocking - unlabelled figures would be a false representation
REQ-SVC-013,14.2.1 Service search package,Section 14.2.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Service Model metadata package: canonical /service-model/ with the specified title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata record,Metadata service,Copy,NONE,NO,Metadata test plus uniqueness,B3,Five table rows merged
REQ-SVC-014,14.2.1 Service search package,Section 14.2.1; table 'Search package'; row 'Schema',Service Model emits Service + FAQPage when the Q and A is visible + BreadcrumbList,SOURCE_REQUIREMENT,P0,MISSING,Schema builder,Schema builder,Policy records,NONE,NO,Schema-to-DOM equality,B7,
REQ-SVC-015,14.2.2 Service acceptance,Section 14.2.2; list item 1,Every service promise links to a complete policy or contains sufficient qualifications,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Claim component enforcement,Service Model,Policy records,OMIT_UNTIL_APPROVED,NO,Build gate on unqualified claims,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-SVC-016,14.2.2 Service acceptance,Section 14.2.2; list item 2,FAQ answers are visible in HTML and match the current policy documents,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Answers sourced from policy records,Service Model,Policy records,OMIT_UNTIL_APPROVED,NO,Content-equality test,B9,
REQ-SVC-017,14.2.2 Service acceptance,Section 14.2.2; list item 3,Portal preview contains no confidential account data,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Static approved imagery only,Portal preview component,Approved screenshots,OMIT_UNTIL_APPROVED,NO,Manual review before publication,B9,Blocking - customer data exposure. Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-SVC-018,14.2.2 Service acceptance,Section 14.2.2; list item 4,Service terminology is clear to a first-time retailer,SOURCE_ACCEPTANCE_CRITERION,P1,MISSING,Plain-language review,Service Model,Copy,OMIT_UNTIL_APPROVED,NO,Editorial review,B9,
REQ-PL-001,15.1 Private Label module order,Section 15.1; list item 1,Hero with the private-label value proposition; Discuss Private Label and Contact Sales actions and an approved program visual,SOURCE_REQUIREMENT,P0,MISSING,Shared hero,Private Label,Copy and imagery,OMIT_UNTIL_APPROVED,NO,Route test,B3,
REQ-PL-002,15.1 Private Label module order,Section 15.1; list item 2,Who it is for covering pharmacies; fashion retail; gas/convenience and adjacent retailers; confirm each segment is actively served before publication,SOURCE_REQUIREMENT,P0,MISSING,Segment list with an approval flag per segment; unapproved segments omitted,Private Label,Segment approval,OMIT_UNTIL_APPROVED,NO,No unapproved segment renders,B3,
REQ-PL-003,15.1 Private Label module order,Section 15.1; list item 3,End-to-end process covering Discovery; Assortment; Branding; Ordering and Replenishment,SOURCE_REQUIREMENT,P1,MISSING,Process module,Private Label,Copy,OMIT_UNTIL_APPROVED,NO,Responsive and reading-order test,B3,
REQ-PL-004,15.1 Private Label module order,Section 15.1; list item 4,What Veyora provides covering frame sourcing; assortment logic; replenishment; retailer support and packaging options,SOURCE_REQUIREMENT,P1,MISSING,Benefit module,Private Label,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-PL-005,15.1 Private Label module order,Section 15.1; list item 5,Program deliverables covering branded packaging; tags; custom cases and branded eyewear,SOURCE_REQUIREMENT,P1,MISSING,Content block,Private Label,Copy and imagery,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-PL-006,15.1 Private Label module order,Section 15.1; list item 6,Why retailers choose Veyora covering flexibility; speed and reduced complexity supported by approved operational details,SOURCE_REQUIREMENT,P1,MISSING,Content block,Private Label,Approved detail,OMIT_UNTIL_APPROVED,NO,No unapproved operational detail renders,B3,
REQ-PL-007,15.1 Private Label module order,Section 15.1; list item 7,Closing private-label and sales CTA,SOURCE_REQUIREMENT,P0,MISSING,CTA band,Private Label,Copy,NONE,NO,Snapshot test,B3,
REQ-PL-008,15.2 Private Label enhancements,Section 15.2; list item 1,Add a qualification block covering channels; program stages; information needed to quote; geographic coverage and lead-time variables without publishing minimums or timelines until approved,SOURCE_REQUIREMENT,P1,MISSING,Content block with unapproved figures omitted,Private Label,Approved detail,OMIT_UNTIL_APPROVED,NO,No minimum or timeline renders until approved,B3,Ruling 13 - MOQ and lead-time claims are omitted
REQ-PL-009,15.2 Private Label enhancements,Section 15.2; list item 2,Provide a private-label enquiry path with context-specific fields rather than sending every prospect to the generic contact form,SOURCE_REQUIREMENT,P0,MISSING,Third form variant on the shared form component,Form service,Field definitions,BLOCKING_APPROVAL,YES,End-to-end submission test with its own event,B6,Blocking - lead capture for a named conversion path
REQ-PL-010,15.2 Private Label enhancements,Section 15.2; list item 3,Create two to four original case examples once Veyora has permission to name or anonymize programs,SOURCE_REQUIREMENT,P2,MISSING,Case study content type default unpublished,Resource entity,Permission,OMIT_UNTIL_APPROVED,NO,Not published unless approved,B5,
REQ-PL-011,15.2 Private Label enhancements,Section 15.2; list item 4,Add an FAQ covering design ownership; packaging; sample approval; minimum order quantities; lead times; warranty and replenishment only when answers are verified,SOURCE_REQUIREMENT,P2,MISSING,Accordion default unpublished,Private Label,Verified answers,OMIT_UNTIL_APPROVED,NO,Not published unless verified,B5,
REQ-PL-012,15.2.1 Private Label search package,Section 15.2.1; table 'Search package'; rows Canonical route Title Meta description H1 Primary intent,Private Label metadata package: canonical /private-label/ with the specified title; description; H1 and intent,SOURCE_REQUIREMENT,P0,MISSING,Route metadata record,Metadata service,Copy,NONE,NO,Metadata test plus uniqueness,B3,Five table rows merged
REQ-PL-013,15.2.1 Private Label search package,Section 15.2.1; table 'Search package'; row 'Schema',Private Label emits Service + FAQPage when visible + BreadcrumbList,SOURCE_REQUIREMENT,P1,MISSING,Schema builder,Schema builder,Verified answers,OMIT_UNTIL_APPROVED,NO,Schema-to-DOM equality,B7,
REQ-PL-014,15.2.2 Private Label acceptance,Section 15.2.2; list item 1,Every target channel and program deliverable is commercially approved,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Approval flags,Private Label,Segment approval,OMIT_UNTIL_APPROVED,NO,No unapproved channel renders,B9,
REQ-PL-015,15.2.2 Private Label acceptance,Section 15.2.2; list item 2,Discuss Private Label opens an intent-specific form or route,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Dedicated form variant,Form service,None,NONE,NO,Link and submission test,B9,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-PL-016,15.2.2 Private Label acceptance,Section 15.2.2; list item 3,No invented minimum order; lead-time or manufacturing claim appears,SOURCE_ACCEPTANCE_CRITERION,P0,MISSING,Omission until approved,Private Label,Approved detail,OMIT_UNTIL_APPROVED,YES,Scan of rendered output for unapproved figures,B9,Blocking - publication of a false commercial claim
REQ-PL-017,15.2.2 Private Label acceptance,Section 15.2.2; list item 4,The private-label page contains enough substance to stand alone not only icons and CTAs,SOURCE_ACCEPTANCE_CRITERION,P1,MISSING,Minimum module and word-count review,Private Label,Copy,OMIT_UNTIL_APPROVED,NO,Content review,B9,
REQ-GP-001,16.1 Global Presence modules,Section 16.1; list item 1,Hero for global distribution with local execution using only approved geographic claims,SOURCE_REQUIREMENT,P0,MISSING,Shared hero with neutral presence wording until approved,Global Presence,Approved geography,NEUTRAL_WORDING,NO,No unapproved geographic claim renders,B3,Ruling 5
REQ-GP-002,16.1 Global Presence modules,Section 16.1; list item 2,Location cards stating the exact function of each location: warehouse; supply base; service hub; office or support location,SOURCE_REQUIREMENT,P0,MISSING,Function is a required enumerated field before a card claims one; neutral presence wording otherwise,Location entity,DECISION-12,NEUTRAL_WORDING,YES,No card renders a function without an approved value,B3,Ruling 6 - blocking only where a page explicitly claims a function; source names Germany here and Italy in section 9.1
REQ-GP-003,16.1 Global Presence modules,Section 16.1; list item 3,Market coverage table for Canada; United States and Europe with service availability and contact route; avoid claiming all countries if coverage is selective,SOURCE_REQUIREMENT,P0,MISSING,Coverage table reflowing on mobile; unapproved rows omitted,Global Presence,Approved coverage,NEUTRAL_WORDING,NO,No blanket coverage claim renders,B3,
REQ-GP-004,16.1 Global Presence modules,Section 16.1; list item 4,How the network works covering sourcing/inbound; inventory location; order routing; fulfilment; account support and escalation,SOURCE_REQUIREMENT,P1,MISSING,Process module,Global Presence,Approved detail,OMIT_UNTIL_APPROVED,NO,Content review,B3,
REQ-GP-005,16.1 Global Presence modules,Section 16.1; list item 5,Regional sales CTA routing users to the correct form option or sales team without exposing private personal data,SOURCE_REQUIREMENT,P0,MISSING,Region field pre-selected on the contact form,Form service,None,NONE,YES,No personal contact data in public HTML,B3,Blocking - personal data exposure
REQ-GP-006,16.1 Global Presence modules,Section 16.1; list item 6,Optional genuine logistics and service FAQs with approved delivery and customs information,SOURCE_REQUIREMENT,P2,MISSING,Accordion default unpublished,Global Presence,Approved answers,OMIT_UNTIL_APPROVED,NO,Not published unless approved,B5,Source marks this optional
REQ-GP-007,16.2 Local and international search,Section 16.2; list item 1,Do not create thin doorway pages for every city or country; create a regional landing only where unique service information exists,SOURCE_REQUIREMENT,P0,COMPLETE,One regional page only,Routing,None,NONE,NO,Route inventory review,B3,
REQ-GP-008,16.2 Local and international search,Section 16.2; list item 2,If localized versions are added use separate URLs with reciprocal hreflang and do not translate titles only,SOURCE_REQUIREMENT,P2,NOT_APPLICABLE,Architecture supports locale-prefixed routes; not built for launch,Routing,Localisation decision,CONFIGURABLE,NO,Deferred acceptance,POST_LAUNCH,No localisation is in scope for this release
REQ-GP-009,16.2 Local and international search,Section 16.2; list item 3,Do not force-redirect visitors by IP; offer a visible language/region selector and preserve a crawlable default,SOURCE_REQUIREMENT,P0,COMPLETE,No geo redirect permitted,Routing,None,NONE,YES,Automated check that no geo-based redirect exists,B3,Blocking - a geo redirect would damage indexing
